Institute Name,Program Name,State/All India Seats,Seat Pool,OPEN,OPEN-PwD,GEN-EWS,GEN-EWS-PwD,SC,SC-PwD,ST,ST-PwD,OBC-NCL,OBC-NCL-PwD,Total
Indian Institute  of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,24,1,6,0,9,1,5,0,16,1,63
Indian Institute  of Technology Bombay,"Aerospace Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),6,1,2,0,3,0,1,0,4,0,17
Indian Institute  of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,45,2,11,1,18,1,8,1,29,2,118
Indian Institute  of Technology Bombay,"Chemical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),10,1,3,0,5,0,2,0,7,0,28
Indian Institute  of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,52,3,13,1,19,1,9,1,35,2,136
Indian Institute  of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),14,0,3,0,5,0,3,0,8,1,34
Indian Institute  of Technology Bombay,"Environmental Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,14,1,4,0,5,0,3,0,9,1,37
Indian Institute  of Technology Bombay,"Environmental Science and Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),4,0,1,0,1,0,1,0,2,0,9
Indian Institute  of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,59,2,13,1,19,1,9,1,39,2,146
Indian Institute  of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),15,1,3,0,5,0,3,0,10,1,38
Indian Institute  of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,36,1,9,0,12,1,6,1,23,1,90
Indian Institute  of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),8,1,1,1,4,0,1,0,7,0,23
Indian Institute  of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",All India,Gender-Neutral,18,1,5,0,7,0,4,0,12,1,48
Indian Institute  of Technology Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),4,0,1,0,1,1,1,0,3,0,11
Indian Institute  of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,61,3,15,1,23,1,11,1,42,2,160
Indian Institute  of Technology Bombay,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),14,1,4,0,6,0,2,0,9,1,37
Indian Institute  of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",All India,Gender-Neutral,41,2,11,1,15,1,8,0,29,1,109
Indian Institute  of Technology Bombay,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),9,1,2,0,4,0,1,1,6,0,24
Indian Institute  of Technology Bombay,"Energy Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,14,1,4,0,6,0,3,0,9,1,38
Indian Institute  of Technology Bombay,"Energy Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,8
Indian Institute  of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",All India,Gender-Neutral,11,1,3,0,4,0,2,0,7,0,28
Indian Institute  of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",All India,Female-only (including Supernumerary),2,0,1,0,0,1,1,0,2,0,7
Indian Institute  of Technology Bombay,"Economics (4 Years, Bachelor of Science)",All India,Gender-Neutral,10,1,3,0,4,0,2,0,7,1,28
Indian Institute  of Technology Bombay,"Economics (4 Years, Bachelor of Science)",All India,Female-only (including Supernumerary),3,0,1,0,1,0,1,0,1,0,7
Indian Institute  of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",All India,Gender-Neutral,8,0,1,1,2,0,1,0,5,0,18
Indian Institute  of Technology Bombay,"BS in Mathematics (4 Years, Bachelor of Science)",All India,Female-only (including Supernumerary),2,0,0,0,1,0,0,0,1,0,4
Indian Institute  of Technology Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,28,1,7,0,10,1,6,0,18,1,72
Indian Institute  of Technology Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Female-only (including Supernumerary),7,1,1,0,3,0,1,0,5,0,18
Indian Institute  of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,15,1,4,0,6,0,2,1,11,0,40
Indian Institute  of Technology Mandi,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),3,1,1,0,1,0,1,0,3,0,10
Indian Institute  of Technology Mandi,"B.Tech in General Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,9,1,2,0,4,0,2,0,6,0,24
Indian Institute  of Technology Mandi,"B.Tech in General Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),2,0,1,0,1,0,0,0,2,0,6
Indian Institute  of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,25,1,6,0,9,1,4,1,17,0,64
Indian Institute  of Technology Mandi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),7,0,2,0,2,0,1,0,3,1,16
Indian Institute  of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,22,1,5,1,7,1,4,0,15,0,56
Indian Institute  of Technology Mandi,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),6,0,1,0,1,1,1,0,4,0,14
Indian Institute  of Technology Mandi,"Engineering Physics (4 Years, Bachelor of Technology)",All India,Gender-Neutral,10,0,2,0,3,0,2,0,6,1,24
Indian Institute  of Technology Mandi,"Engineering Physics (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),2,0,1,0,1,0,0,0,2,0,6
Indian Institute  of Technology Mandi,"B.Tech in Materials Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,10,0,2,0,4,0,2,0,5,1,24
Indian Institute  of Technology Mandi,"B.Tech in Materials Science and Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),2,0,1,0,1,0,0,0,2,0,6
Indian Institute  of Technology Mandi,"B.Tech in Microelectronics & VLSI (4 Years, Bachelor of Technology)",All India,Gender-Neutral,9,1,2,0,4,0,2,0,5,1,24
Indian Institute  of Technology Mandi,"B.Tech in Microelectronics & VLSI (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),2,0,1,0,1,0,0,0,2,0,6
Indian Institute  of Technology Mandi,"B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)",All India,Gender-Neutral,10,1,1,1,3,0,2,0,6,0,24
Indian Institute  of Technology Mandi,"B.Tech in Mathematics and Computing (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),2,0,1,0,1,0,0,0,2,0,6
Indian Institute  of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,18,1,4,1,7,0,4,0,13,0,48
Indian Institute  of Technology Mandi,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),5,0,1,0,2,0,1,0,2,1,12
Indian Institute  of Technology Mandi,"Bio Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,10,0,2,0,4,0,3,0,4,1,24
Indian Institute  of Technology Mandi,"Bio Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),2,0,1,0,1,0,0,0,2,0,6
Indian Institute  of Technology Mandi,"Data Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,16,0,4,0,5,1,3,0,10,1,40
Indian Institute  of Technology Mandi,"Data Science and Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),3,1,1,0,1,0,1,0,3,0,10
Indian Institute  of Technology Mandi,"BS in Chemical Sciences (4 Years, Bachelor of Science)",All India,Gender-Neutral,9,1,2,0,4,0,2,0,6,0,24
Indian Institute  of Technology Mandi,"BS in Chemical Sciences (4 Years, Bachelor of Science)",All India,Female-only (including Supernumerary),2,0,1,0,1,0,0,0,2,0,6
Indian Institute  of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,22,1,6,0,9,0,4,0,14,1,57
Indian Institute  of Technology Delhi,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),5,1,2,0,2,0,1,0,4,0,15
Indian Institute  of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,23,1,6,0,8,1,5,0,15,1,60
Indian Institute  of Technology Delhi,"Chemical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),5,1,1,1,2,0,1,0,4,0,15
Indian Institute  of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,35,1,8,1,12,1,6,1,22,1,88
Indian Institute  of Technology Delhi,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),9,0,2,0,3,0,2,0,6,0,22
Indian Institute  of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,31,1,7,1,11,1,6,0,20,1,79
Indian Institute  of Technology Delhi,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),7,1,2,0,3,0,2,0,5,0,20
Indian Institute  of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,37,2,9,1,13,1,6,1,25,1,96
Indian Institute  of Technology Delhi,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),9,1,2,0,4,0,2,0,5,1,24
Indian Institute  of Technology Delhi,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",All India,Gender-Neutral,20,1,5,0,8,0,4,0,14,0,52
Indian Institute  of Technology Delhi,"Electrical Engineering (Power and Automation) (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),5,0,1,0,2,0,1,0,4,0,13
Indian Institute  of Technology Delhi,"Engineering Physics (4 Years, Bachelor of Technology)",All India,Gender-Neutral,19,1,5,0,8,0,3,0,13,1,50
Indian Institute  of Technology Delhi,"Engineering Physics (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),5,0,1,0,2,0,1,0,4,0,13
Indian Institute  of Technology Delhi,"Mathematics and Computing (4 Years, Bachelor of Technology)",All India,Gender-Neutral,28,1,7,0,10,1,4,1,18,1,71
Indian Institute  of Technology Delhi,"Mathematics and Computing (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),6,1,2,0,2,1,1,0,5,0,18
Indian Institute  of Technology Delhi,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,30,1,6,1,10,1,5,1,20,1,76
Indian Institute  of Technology Delhi,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),7,1,2,0,3,0,1,0,5,0,19
Indian Institute  of Technology Delhi,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,27,1,6,1,10,1,6,0,18,1,71
Indian Institute  of Technology Delhi,"Production and Industrial Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),7,0,2,0,3,0,1,0,5,0,18
Indian Institute  of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",All India,Gender-Neutral,30,1,8,0,10,1,5,1,19,1,76
Indian Institute  of Technology Delhi,"Textile Technology (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),7,1,2,0,3,0,1,0,5,1,20
Indian Institute  of Technology Delhi,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",All India,Gender-Neutral,12,1,3,0,5,0,2,0,8,1,32
Indian Institute  of Technology Delhi,"Engineering and Computational Mechanics (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,8
Indian Institute  of Technology Delhi,"Materials Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,12,1,3,0,5,0,2,0,8,1,32
Indian Institute  of Technology Delhi,"Materials Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,8
Indian Institute  of Technology Delhi,"Energy Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,12,1,3,0,5,0,2,0,8,1,32
Indian Institute  of Technology Delhi,"Energy Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,8
Indian Institute  of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,13,1,4,0,5,0,3,0,9,1,36
Indian Institute  of Technology Delhi,"Chemical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Female-only (including Supernumerary),4,0,1,0,2,0,1,0,2,0,10
Indian Institute  of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,11,1,3,0,4,0,2,0,8,0,29
Indian Institute  of Technology Delhi,"Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,8
Indian Institute  of Technology Delhi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Gender-Neutral,10,1,2,0,4,0,2,0,7,0,26
Indian Institute  of Technology Delhi,"Mathematics and Computing (5 Years, Bachelor and Master of Technology (Dual Degree))",All India,Female-only (including Supernumerary),3,0,0,0,1,0,0,0,3,0,7
Indian Institute  of Technology Indore,"Chemical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,12,1,3,0,5,0,2,0,8,1,32
Indian Institute  of Technology Indore,"Chemical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,8
Indian Institute  of Technology Indore,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,17,1,4,0,6,0,3,0,10,1,42
Indian Institute  of Technology Indore,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),4,0,1,0,2,0,1,0,3,0,11
Indian Institute  of Technology Indore,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,24,2,6,0,9,1,5,1,16,1,65
Indian Institute  of Technology Indore,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),7,0,2,0,2,0,1,0,5,0,17
Indian Institute  of Technology Indore,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,26,2,6,1,9,1,5,0,16,1,67
Indian Institute  of Technology Indore,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),7,0,2,0,3,0,1,0,5,0,18
Indian Institute  of Technology Indore,"Engineering Physics (4 Years, Bachelor of Technology)",All India,Gender-Neutral,6,0,2,0,2,0,1,0,5,0,16
Indian Institute  of Technology Indore,"Engineering Physics (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),2,0,0,0,1,0,0,0,1,0,4
Indian Institute  of Technology Indore,"Space Sciences and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,6,0,2,0,2,0,1,0,5,0,16
Indian Institute  of Technology Indore,"Space Sciences and Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),2,0,0,0,1,0,0,0,1,0,4
Indian Institute  of Technology Indore,"Mathematics and Computing (4 Years, Bachelor of Technology)",All India,Gender-Neutral,12,1,3,0,5,0,2,0,8,1,32
Indian Institute  of Technology Indore,"Mathematics and Computing (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,8
Indian Institute  of Technology Indore,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,26,2,6,1,9,1,5,1,17,1,69
Indian Institute  of Technology Indore,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),7,0,2,0,3,0,1,0,5,0,18
Indian Institute  of Technology Indore,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",All India,Gender-Neutral,17,1,4,0,6,0,3,0,10,1,42
Indian Institute  of Technology Indore,"Metallurgical Engineering and Materials Science (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),4,0,1,0,2,0,1,0,3,0,11
Indian Institute  of Technology Kharagpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,13,1,4,0,5,0,4,0,8,1,36
Indian Institute  of Technology Kharagpur,"Aerospace Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,8
Indian Institute  of Technology Kharagpur,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,14,2,4,0,6,0,3,0,10,1,40
Indian Institute  of Technology Kharagpur,"Agricultural and Food Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,8
Indian Institute  of Technology Kharagpur,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,11,1,3,0,5,0,2,0,8,0,30
Indian Institute  of Technology Kharagpur,"Biotechnology and Biochemical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),3,0,1,0,1,0,0,0,1,0,6
Indian Institute  of Technology Kharagpur,"Chemical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,25,1,5,1,9,1,4,1,16,2,65
Indian Institute  of Technology Kharagpur,"Chemical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),5,1,1,0,2,0,1,0,4,0,14
Indian Institute  of Technology Kharagpur,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,27,2,6,1,10,1,5,1,18,1,72
Indian Institute  of Technology Kharagpur,"Civil Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),6,0,1,0,2,0,1,0,4,1,15
Indian Institute  of Technology Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,25,2,5,1,9,1,4,1,17,1,66
Indian Institute  of Technology Kharagpur,"Computer Science and Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),5,1,0,0,2,0,1,0,4,1,14
Indian Institute  of Technology Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,25,1,6,1,9,1,4,1,17,1,66
Indian Institute  of Technology Kharagpur,"Electrical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),5,1,1,0,2,0,1,0,4,0,14
Indian Institute  of Technology Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,28,2,7,1,10,1,4,1,19,1,74
Indian Institute  of Technology Kharagpur,"Electronics and Electrical Communication Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),6,1,1,1,1,0,0,1,4,1,16
Indian Institute  of Technology Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,13,1,4,0,6,0,3,0,9,0,36
Indian Institute  of Technology Kharagpur,"Instrumentation Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,8
Indian Institute  of Technology Kharagpur,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,14,1,4,0,5,0,3,0,9,0,36
Indian Institute  of Technology Kharagpur,"Manufacturing Science and Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,8
Indian Institute  of Technology Kharagpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,30,2,8,1,12,1,5,1,21,1,82
Indian Institute  of Technology Kharagpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),7,1,1,1,1,1,0,0,4,1,17
Indian Institute  of Technology Kharagpur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,19,1,5,1,6,1,4,0,13,1,51
Indian Institute  of Technology Kharagpur,"Metallurgical and Materials Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),4,0,1,0,2,0,1,0,3,0,11
Indian Institute  of Technology Kharagpur,"Mining Engineering  (4 Years, Bachelor of Technology)",All India,Gender-Neutral,19,0,5,0,7,0,4,0,13,0,48
Indian Institute  of Technology Kharagpur,"Mining Engineering  (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),4,0,1,0,2,0,1,0,3,0,11
Indian Institute  of Technology Kharagpur,"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",All India,Gender-Neutral,14,1,4,0,5,0,3,0,10,1,38
Indian Institute  of Technology Kharagpur,"Ocean Engineering and Naval Architecture (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,8
Indian Institute  of Technology Kharagpur,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",All India,Gender-Neutral,13,1,3,0,5,1,3,0,9,0,35
Indian Institute  of Technology Kharagpur,"Industrial and Systems Engineering (4 Years, Bachelor of Technology)",All India,Female-only (including Supernumerary),3,0,1,0,1,0,1,0,2,0,8
Indian Institute  of Technology Kharagpur,"Chemistry (4 Years, Bachelor of Science)",All India,Gender-Neutral,14,1,4,0,5,0,3,0,9,1,37
